Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2025-11-22,Udinese vs Bologna,Udinese,Bologna,A,H,False,0.401,0.394,0.205,0.401,0.401,2553
2025-11-22,Fiorentina vs Juventus,Fiorentina,Juventus,D,H,False,0.419,0.349,0.232,0.419,0.419,2553
2025-11-22,Napoli vs Atalanta,Napoli,Atalanta,H,H,True,0.494,0.306,0.199,0.494,0.494,2553
2025-11-23,Verona vs Parma,Verona,Parma,A,D,False,0.34,0.461,0.199,0.461,0.461,2557
2025-11-23,Cremonese vs Roma,Cremonese,Roma,A,D,False,0.32,0.351,0.33,0.351,0.351,2557
2025-11-23,Lazio vs Lecce,Lazio,Lecce,H,H,True,0.451,0.371,0.178,0.451,0.451,2557
2025-11-23,Inter vs Milan,Inter,Milan,A,H,False,0.527,0.282,0.191,0.527,0.527,2557
2025-11-24,Torino vs Como,Torino,Como,A,D,False,0.356,0.392,0.251,0.392,0.392,2561
2025-11-24,Sassuolo vs Pisa,Sassuolo,Pisa,D,D,True,0.353,0.371,0.276,0.371,0.371,2561
2025-11-28,Como vs Sassuolo,Como,Sassuolo,H,H,True,0.457,0.351,0.191,0.457,0.457,2563
2025-11-29,Genoa vs Verona,Genoa,Verona,H,D,False,0.383,0.41,0.208,0.41,0.41,2564
2025-11-29,Parma vs Udinese,Parma,Udinese,A,H,False,0.405,0.379,0.216,0.405,0.405,2564
2025-11-29,Juventus vs Cagliari,Juventus,Cagliari,H,H,True,0.563,0.297,0.139,0.563,0.563,2564
2025-11-29,Milan vs Lazio,Milan,Lazio,H,H,True,0.532,0.278,0.19,0.532,0.532,2564
2025-11-30,Lecce vs Torino,Lecce,Torino,H,D,False,0.382,0.426,0.193,0.426,0.426,2568
2025-11-30,Pisa vs Inter,Pisa,Inter,A,H,False,0.496,0.268,0.236,0.496,0.496,2568
2025-11-30,Atalanta vs Fiorentina,Atalanta,Fiorentina,H,H,True,0.48,0.363,0.157,0.48,0.48,2568
2025-11-30,Roma vs Napoli,Roma,Napoli,A,H,False,0.505,0.279,0.217,0.505,0.505,2568
