date,match,won,odds,prob,ev,stake,profit,bankroll,cumsum,peak,dd
2024-11-09,Venezia vs Parma,False,3.4,0.387,31.58000000000001,83.13812316918886,-83.13812316918886,1579.624340214588,579.6243402145882,1621.7766198585978,-1042.1522796440095
2024-11-10,Roma vs Bologna,False,3.4,0.387,31.58000000000001,78.98121701072941,-78.98121701072941,1500.6431232038587,500.64312320385875,1621.7766198585978,-1121.133496654739
2024-11-23,Milan vs Juventus,True,3.3,0.387,27.70999999999999,75.03215616019294,172.57395916844374,1673.2170823723025,673.2170823723025,1621.7766198585978,-948.5595374862953
2024-11-24,Lazio vs Bologna,False,3.5,0.387,35.45,83.66085411861513,-83.66085411861513,1589.5562282536873,589.5562282536873,1621.7766198585978,-1032.2203916049104
2024-11-25,Venezia vs Lecce,False,3.25,0.387,25.775000000000013,79.47781141268437,-79.47781141268437,1510.078416841003,510.07841684100293,1621.7766198585978,-1111.6982030175948
2024-11-29,Cagliari vs Verona,False,3.4,0.387,31.58000000000001,75.50392084205015,-75.50392084205015,1434.574495998953,434.5744959989528,1621.7766198585978,-1187.2021238596449
2024-11-30,Como vs Monza,True,3.25,0.387,25.775000000000013,71.72872479994764,161.38963079988218,1595.964126798835,595.964126798835,1621.7766198585978,-1025.8124930597628
2024-12-01,Udinese vs Genoa,False,3.3,0.387,27.70999999999999,79.79820633994176,-79.79820633994176,1516.1659204588932,516.1659204588932,1621.7766198585978,-1105.6106993997046
2024-12-01,Torino vs Napoli,False,3.4,0.387,31.58000000000001,75.80829602294466,-75.80829602294466,1440.3576244359485,440.35762443594854,1621.7766198585978,-1181.4189954226492
2024-12-02,Roma vs Atalanta,False,3.5,0.387,35.45,72.01788122179742,-72.01788122179742,1368.3397432141512,368.3397432141511,1621.7766198585978,-1253.4368766444468
2024-12-06,Atalanta vs Milan,False,3.4,0.387,31.58000000000001,68.41698716070756,-68.41698716070756,1299.9227560534437,299.92275605344355,1621.7766198585978,-1321.853863805154
2024-12-08,Venezia vs Como,True,3.3,0.387,27.70999999999999,64.99613780267218,149.491116946146,1449.4138729995898,449.41387299958956,1621.7766198585978,-1172.3627468590082
2024-12-08,Napoli vs Lazio,False,3.4,0.387,31.58000000000001,72.4706936499795,-72.4706936499795,1376.9431793496103,376.9431793496101,1621.7766198585978,-1244.8334405089877
2024-12-14,Udinese vs Napoli,False,3.5,0.387,35.45,68.84715896748052,-68.84715896748052,1308.0960203821298,308.09602038212955,1621.7766198585978,-1313.6805994764682
2024-12-15,Como vs Roma,False,3.4,0.387,31.58000000000001,65.4048010191065,-65.4048010191065,1242.6912193630233,242.69121936302304,1621.7766198585978,-1379.0854004955747
